CustomerID,Recency,Frequency,Monetary,Cluster
13297,7,4,2089.85,1
13298,0,1,360.0,1
13299,267,1,142.5,0
13300,168,1,371.89,0
13301,103,4,618.09,1
13302,154,1,63.75,0
13304,350,1,300.42,0
13305,3,10,2000.86,1
13307,119,1,15.0,1
13308,22,3,1385.51,1
13309,6,5,1456.79,1
13310,27,3,1132.03,1
13311,3,2,598.57,1
13313,21,5,1555.3200000000002,1
13314,1,3,775.94,1
13316,36,4,5977.73,1
13317,65,6,2273.68,1
13318,0,3,640.76,1
13319,4,26,10845.55,3
13320,77,4,1548.7,1
13321,71,2,567.36,1
13322,16,1,199.48,1
13323,2,5,787.85,1
13324,35,10,7121.95,3
13325,81,1,675.3,1
13327,38,8,3627.77,1
13328,315,1,1308.48,0
13329,31,2,789.0,1
13330,92,3,1140.93,1
13332,13,1,350.90000000000003,1
13334,81,3,3536.82,1
13336,76,1,795.12,1
13338,157,1,487.02,0
13339,200,1,860.12,0
13340,44,7,10736.48,1
13341,260,1,775.85,0
13343,177,1,353.43,0
13344,67,3,2543.7200000000003,1
13345,287,1,389.5,0
13347,69,1,341.36,1
13348,63,1,233.76,1
13349,10,1,247.32,1
13350,15,2,979.12,1
13351,65,1,373.94,1
13352,59,1,397.98,1
13354,70,1,743.53,1
13355,121,1,674.7,1
13356,79,1,768.24,1
13357,256,1,609.95,0
13358,268,1,439.03,0
13359,63,1,439.56,1
13362,8,4,3090.74,1
13363,17,2,992.5,1
13364,70,1,134.96,1
13365,33,2,2225.37,1
13366,49,1,56.16,1
13368,256,2,623.4,0
13369,365,1,308.28000000000003,0
13370,371,1,754.87,0
13372,89,1,378.64,1
13373,60,3,3312.25,1
13375,88,1,778.65,1
13376,98,3,1019.76,1
13379,25,3,572.56,1
13381,31,6,3639.31,1
13382,280,1,222.99,0
13384,30,7,4151.93,1
13385,329,1,534.57,0
13388,130,2,677.1,1
13389,10,3,797.96,1
13390,74,1,544.08,1
13391,203,1,59.8,0
13394,1,8,2520.02,1
13395,184,1,307.72,0
13396,28,2,1360.99,1
13397,72,5,1544.13,1
13398,191,1,457.34,0
13402,126,2,621.23,1
13403,17,1,75.0,1
13404,0,2,252.49,1
13405,73,3,572.451,1
13408,1,62,28117.04,2
13410,23,5,1003.06,1
13411,106,1,213.55,1
13414,133,3,1390.5,1
13416,43,2,712.5,1
13417,4,2,640.83,1
13418,11,18,6127.43,3
13419,63,1,221.06,1
13420,149,2,159.85,0
13421,39,2,1851.08,1
13422,63,1,2626.3,1
13425,107,3,1624.21,1
13426,0,10,3641.32,1
13427,18,3,582.6,1
13428,9,1,218.47,1
13429,10,4,1006.8,1
13430,18,2,679.45,1
13431,66,2,1269.1,1
13434,73,2,534.24,1
13435,4,7,3809.89,1
13436,1,1,196.89,1
13437,13,7,3408.06,1
13439,254,1,283.71,0
13441,91,1,296.64,1
13447,22,3,1129.14,1
13448,16,6,3539.3700000000003,1
13449,23,1,291.88,1
13450,26,6,2043.72,1
13451,25,5,2976.15,1
13452,258,2,590.0,0
13453,165,2,356.98,0
13455,24,2,1058.34,1
13456,17,6,1766.72,1
13458,6,14,9646.57,3
13460,28,2,183.44,1
13461,38,3,1445.0,1
13462,252,1,151.5,0
13464,57,1,674.68,1
13466,183,1,307.90000000000003,0
13467,10,2,1083.71,1
13468,1,37,5704.97,3
13470,98,2,165.0,1
13471,0,4,2531.58,1
13473,60,2,422.64,1
13474,235,1,229.59,0
13475,190,4,1431.78,0
13476,178,2,1238.47,0
13477,37,6,1454.58,1
13479,200,2,300.95,0
13481,45,5,1804.56,1
13482,231,1,184.64,0
13483,65,1,140.34,1
13484,240,1,313.8,0
13485,232,1,454.24,0
13486,77,3,1122.41,1
13487,57,3,575.4,1
13488,16,13,8968.31,3
13489,104,4,449.52,1
13491,51,10,1215.82,1
13494,311,1,316.26000000000005,0
13495,7,5,2044.87,1
13496,10,2,653.33,1
13497,282,2,348.05,0
13499,17,5,1159.11,1
13500,22,3,1166.77,1
13502,16,3,292.0,1
13503,70,1,216.85,1
13504,63,1,295.93,1
13506,315,2,458.52,0
13507,2,4,2479.16,1
13508,243,1,110.97,0
13509,8,7,979.72,1
13510,0,4,1791.56,1
13512,260,1,251.21,0
13513,126,1,205.1,1
13514,73,1,152.20000000000002,1
13515,72,4,891.12,1
13516,20,3,1389.41,1
13517,59,3,2128.42,1
13518,85,1,659.44,1
13519,77,1,122.75,1
13521,0,3,1093.65,1
13522,29,1,125.8,1
13523,32,5,3964.88,1
13524,40,5,680.1800000000001,1
13525,14,2,628.78,1
13527,33,7,2287.51,1
13529,78,2,307.76,1
13531,204,2,483.8,0
13532,33,1,210.31,1
13533,182,3,270.79,0
13534,1,25,5870.08,3
13536,0,7,3448.29,1
13538,42,7,1280.85,1
13539,85,3,631.34,1
13544,39,2,291.41,1
13546,11,3,626.99,1
13548,95,2,682.41,1
13549,25,7,918.2,1
13551,318,1,91.8,0
13552,65,12,3740.07,3
13555,73,4,4149.28,1
13557,27,2,584.0600000000001,1
13558,5,4,605.06,1
13560,6,1,174.37,1
13561,215,1,141.86,0
13562,81,3,1799.3300000000002,1
13563,83,2,777.53,1
13564,143,3,1749.02,1
13565,18,2,240.22,1
13566,40,2,874.71,1
13568,172,1,192.85,0
13569,16,2,373.75,1
13570,242,1,239.49,0
13571,12,12,2092.32,3
13572,205,1,1384.25,0
13573,49,2,294.40000000000003,1
13575,22,5,732.07,1
13576,9,18,6717.34,3
13577,24,4,1687.6,1
13579,14,2,467.04,1
13581,308,1,118.0,0
13583,155,1,781.03,0
13584,306,1,142.4,0
13587,63,1,712.4,1
13588,15,9,2478.95,1
13589,14,2,379.65,1
13590,10,6,1981.92,1
13591,64,3,1117.13,1
13592,35,4,247.96,1
13593,107,5,2037.08,1
13594,52,1,396.97,1
13596,5,2,697.04,1
13598,46,1,180.17,1
13599,0,21,5153.67,3
13600,311,1,219.52,0
13601,44,2,693.32,1
13602,64,1,428.89,1
13603,25,1,164.34,1
13606,28,3,280.54,1
13607,39,1,678.01,1
13610,11,7,1131.88,1
13611,88,3,1171.8,1
13614,23,4,1610.46,1
13615,318,1,417.69,0
13617,39,3,544.18,1
13618,173,1,177.34,0
13621,116,1,213.85,1
13623,30,5,747.78,1
13626,252,1,257.23,0
13627,58,5,1638.47,1
13629,22,11,7792.36,3
13630,4,7,2031.78,1
13631,99,11,3070.42,1
13632,24,5,2121.27,1
13634,32,5,1575.16,1
13635,67,1,1071.03,1
13636,36,5,949.12,1
13637,51,3,810.5,1
13638,15,1,122.64,1
13639,73,1,1033.34,1
13642,215,1,354.8,0
13643,30,3,519.44,1
13644,15,4,2624.26,1
13645,119,1,252.1,1
13647,9,4,1678.12,1
13649,256,2,346.6,0
13650,16,6,1836.34,1
13651,34,2,94.2,1
13652,45,3,1095.08,1
13654,42,6,2707.33,1
13655,113,2,932.97,1
13656,164,2,379.65,0
13657,10,2,382.14,1
13658,9,5,2639.17,1
13659,205,2,1573.2,0
13662,85,3,897.76,1
13663,178,1,189.47,0
13666,59,3,84.65,1
13667,148,1,305.02,0
13668,2,21,6363.59,3
13669,50,2,218.55,1
13670,74,1,349.7,1
13672,300,2,186.39,0
13673,18,2,396.92,1
13675,150,2,486.8200000000001,0
13678,151,1,232.6,0
13680,0,4,3722.42,1
13681,17,4,827.83,1
13682,186,1,59.5,0
13684,285,1,67.23,0
13685,2,7,3119.44,1
13686,182,1,72.0,0
13689,62,1,910.0,1
13690,58,1,172.25,1
13692,24,3,1488.32,1
13694,3,50,65039.62,2
13695,30,15,2504.13,3
13697,38,1,151.3,1
13699,154,1,308.58000000000004,0
13700,25,10,2265.12,1
13703,317,1,99.5,0
13704,4,9,2308.06,1
13705,7,3,711.86,1
13706,302,1,330.79,0
13707,266,2,806.41,0
13708,270,1,296.88,0
13709,3,13,6328.05,3
13710,31,1,180.48,1
13711,218,2,252.06,0
13712,246,1,228.84,0
13715,280,5,1079.34,0
13716,268,1,138.28,0
13717,31,6,1445.01,1
13718,245,2,306.55,0
13719,14,5,1041.68,1
13720,116,4,799.9,1
13721,35,1,524.14,1
13722,131,3,2375.41,1
13723,216,1,199.85,0
13725,49,8,1980.56,1
13726,38,2,1079.66,1
13727,28,2,333.48,1
13728,36,6,1016.14,1
13730,135,2,752.6,1
13731,218,2,610.59,0
13732,27,1,491.86,1
13735,24,4,2885.24,1
13736,4,2,731.9,1
13737,199,1,339.6,0
13739,17,1,216.9,1
13740,240,1,350.75,0
13741,71,3,668.4300000000001,1
13742,16,12,3131.02,3
13743,2,7,1341.6,1
13744,94,2,1156.36,1
13745,161,1,300.04,0
13747,373,1,79.6,0
13748,95,5,948.25,1
13750,53,5,1647.26,1
13751,287,1,296.25,0
13752,123,6,1186.28,1
13753,287,1,741.26,0
13754,151,2,282.6,0
13755,3,9,2161.35,1
13756,1,14,5189.52,3
13758,11,7,3190.55,1
13759,32,2,659.4100000000001,1
13760,53,2,286.79,1
13761,49,2,1070.65,1
13762,218,1,306.72,0
13763,62,1,1714.96,1
13764,70,3,1521.76,1
13767,1,37,17220.36,3
13769,1,10,2796.51,1
13771,63,4,2634.45,1
13772,33,3,1132.13,1
13774,81,1,345.0,1
13777,0,33,25977.16,3
13778,102,1,178.7,1
13780,6,2,360.01,1
13781,250,1,127.84,0
13782,12,6,912.0,1
13784,9,11,2462.79,3
13786,366,1,230.4,0
13787,75,2,309.04,1
13790,3,1,348.79999999999995,1
13791,127,2,1516.0,1
13792,65,2,195.55,1
13798,0,57,37153.85,2
13799,116,2,688.86,1
13800,309,1,558.32,0
13801,66,1,324.8,1
13802,138,3,4599.42,1
13803,254,1,277.07,0
13804,30,7,2635.79,1
13805,51,2,924.6,1
13806,63,1,256.38,1
13807,366,1,112.6,0
13808,5,5,1747.66,1
13819,301,3,1140.35,0
13821,144,2,385.64,0
13822,5,2,632.0,1
13823,18,2,957.66,1
13824,32,5,1698.94,1
13826,175,1,189.5,0
13827,57,3,412.05,1
13828,21,1,209.49,1
13831,15,6,2202.99,1
13832,18,1,52.2,1
13833,158,1,384.8,0
13835,24,4,834.57,1
13837,211,2,271.24,0
13838,5,4,691.73,1
13841,252,1,85.0,0
13842,58,9,3385.62,1
13844,10,1,361.62,1
13845,64,1,312.98,1
13846,24,3,865.0600000000001,1
13848,91,3,1255.0,1
13849,51,2,1537.95,1
13850,128,1,1595.48,1
13851,95,3,2651.46,1
13853,56,1,1090.14,1
13854,8,25,8109.519999999999,3
13856,168,3,388.5,0
13858,56,1,216.17,1
13859,325,1,201.16,0
13860,0,5,1245.9,1
13862,17,8,2209.36,1
13863,247,1,305.78,0
13865,57,4,501.56,1
13866,73,1,145.67,1
13867,30,3,1015.29,1
13868,6,2,3192.54,1
13869,122,4,3104.9500000000003,1
13870,1,8,2770.94,1
13871,22,13,6403.25,3
13873,119,3,389.6,1
13874,357,1,540.45,0
13875,53,5,1786.79,1
13876,63,1,122.7,1
13877,85,1,117.24,1
13878,54,1,1281.53,1
13880,20,13,3219.77,3
13881,2,20,17159.52,3
13882,2,5,1191.13,1
13883,10,5,2674.48,1
13884,6,5,787.6,1
13885,188,2,506.8,0
13886,70,1,243.56,1
13887,203,1,349.55,0
13888,119,2,605.63,1
13889,92,1,416.9,1
13890,0,10,1883.81,1
13892,26,4,632.97,1
13893,297,1,821.1,0
13894,23,3,564.62,1
13895,27,4,2593.07,1
13897,49,1,311.16,1
13898,325,1,155.93,0
13899,15,2,388.52,1
13900,182,3,740.95,0
13901,71,5,2867.2000000000003,1
13904,36,2,332.64,1
13908,79,4,2369.55,1
13911,56,9,2580.91,1
13914,11,2,626.45,1
13917,49,2,272.04,1
13918,49,2,1212.84,1
13922,351,1,172.25,0
13923,53,1,351.13,1
13924,1,6,1838.85,1
13925,92,4,678.25,1
13926,22,1,223.85,1
13927,74,1,348.99,1
13928,10,4,464.57,1
13929,168,2,842.65,0
13930,57,2,337.34,1
13931,95,2,1237.53,1
13932,294,1,307.4,0
13933,108,2,608.79,1
13934,263,1,922.1,0
13936,179,1,376.58,0
13937,168,1,158.85,0
13938,34,1,71.66,1
13939,22,3,568.55,1
13940,16,4,839.14,1
13941,21,5,5112.96,1
13946,78,3,561.57,1
13947,64,1,90.6,1
13948,360,1,102.0,0
13949,2,6,2427.32,1
13950,10,4,745.0600000000001,1
13951,175,3,674.45,0
13952,217,2,3251.071,0
13953,6,7,3515.68,1
13954,0,2,439.92,1
13955,153,2,322.96,0
13956,4,5,1026.42,1
13959,78,3,598.2,1
13960,20,2,230.22,1
13962,21,2,169.54999999999998,1
13963,307,4,664.54,0
13967,145,1,80.7,0
13969,6,18,9053.94,3
13971,18,8,2758.26,1
13972,70,2,190.25,1
13973,286,1,264.7,0
13974,48,1,413.59,1
13975,30,6,2526.28,1
13976,206,1,357.98,0
13978,14,2,196.79,1
13979,72,1,869.87,1
13980,59,1,200.14,1
13982,38,4,1871.81,1
13983,29,12,2603.43,3
13984,26,5,920.51,1
13985,3,15,7060.13,3
13986,16,1,320.46,1
13988,19,6,4147.96,1
13989,65,2,1266.08,1
13990,212,1,311.3,0
13991,11,6,855.97,1
13992,29,1,76.8,1
13993,42,9,3466.36,1
13994,3,6,2313.14,1
13995,14,5,1393.69,1
13999,9,12,3901.81,3
14000,210,1,635.66,0
14001,45,3,2043.08,1
14002,133,2,529.73,1
14004,42,7,4582.64,1
14005,9,5,2874.72,1
14006,115,3,962.19,1
14009,197,2,695.61,0
14012,277,1,328.8,0
14013,109,3,473.02,1
14014,76,1,505.18,1
14015,52,1,917.34,1
14019,46,3,1421.61,1
14020,16,2,642.8,1
14021,154,3,631.9,0
14022,224,1,440.0,0
14023,6,2,584.07,1
14024,121,2,327.7,1
14027,60,1,104.82,1
14029,62,2,467.66,1
14030,17,8,2360.09,1
14031,6,19,17286.86,3
14032,1,11,2975.59,3
14034,21,3,651.8199999999999,1
14035,28,5,1428.02,1
14036,284,1,626.65,0
14037,175,2,147.20000000000002,0
14038,77,3,1560.38,1
14039,32,1,152.2,1
14040,40,12,3614.92,3
14041,265,1,141.41,0
14044,26,4,652.82,1
14045,108,4,1659.75,1
14046,283,1,154.99,0
14047,8,5,1308.61,1
14048,304,1,409.93,0
14049,16,4,5681.72,1
14050,31,2,746.36,1
14051,0,23,15610.39,3
14052,19,1,225.36,1
14053,123,2,260.25,1
14054,64,1,92.46,1
14055,105,1,725.6400000000001,1
14056,0,23,8214.65,3
14057,23,17,6217.96,3
14059,266,1,183.6,0
14060,4,19,6140.42,3
14062,9,12,10464.85,3
14064,28,5,1353.74,1
14066,266,1,152.55,0
14067,63,2,374.7,1
14068,319,1,265.85,0
14071,3,8,1438.82,1
14073,31,1,151.04,1
14075,4,3,942.26,1
14076,128,1,122.47,1
14077,40,5,499.42,1
14078,101,6,1049.37,1
14079,124,1,375.1,1
14080,32,1,45.6,1
14081,301,2,934.52,0
14082,364,1,182.25,0
14083,3,9,1018.43,1
14085,1,18,4448.54,3
14087,2,1,194.42,1
14088,9,13,50491.81,3
14089,56,1,161.0,1
14090,324,1,76.32000000000001,0
14092,7,14,4076.91,3
14093,11,1,442.85,1
14096,3,17,65164.79,2
14098,36,1,147.35,1
14099,15,11,3104.17,3
14100,137,1,194.9,1
14101,73,6,5976.79,1
14102,4,5,1360.28,1
14104,153,2,216.21,0
14105,238,1,1266.23,0
14107,51,7,2703.23,1
14108,30,2,597.91,1
14109,72,1,144.2,1
14110,3,12,5683.15,3
14111,13,4,692.85,1
14112,22,7,2915.15,1
14113,3,4,1840.42,1
14114,273,2,386.53,0
14116,19,5,1382.74,1
14117,143,1,90.0,0
14121,3,4,2780.15,1
14124,83,1,419.58,1
14125,10,3,2740.43,1
14126,7,3,706.1300000000001,1
14127,122,3,709.71,1
14128,60,2,637.5,1
14129,1,5,1123.86,1
14130,318,1,483.86,0
14132,1,11,3586.03,3
14133,129,3,605.64,1
14135,1,15,4690.31,3
14138,1,2,982.38,1
14139,45,1,415.82,1
14140,3,2,935.05,1
14141,2,4,915.13,1
14142,372,1,311.81,0
14143,133,1,115.8,1
14145,46,4,3742.2,1
14146,8,5,4191.0,1
14147,77,2,483.4,1
14148,233,1,157.2,0
14149,220,1,446.62,0
14150,35,2,658.64,1
14152,74,2,621.29,1
14154,238,2,1345.62,0
14155,265,1,118.75,0
14157,19,2,432.88,1
14158,39,1,507.66,1
14159,19,11,4693.01,3
14161,215,3,1110.52,0
14162,173,2,289.36,0
14163,86,4,2445.91,1
14164,70,2,1631.77,1
14165,275,1,122.54,0
14167,38,4,574.84,1
14171,97,1,363.79,1
14173,10,4,450.84,1
14174,32,1,134.46,1
14175,59,3,3222.3,1
14176,296,4,576.9000000000001,0
14177,85,4,559.41,1
14178,8,7,1620.93,1
14179,40,2,719.78,1
14180,10,25,4748.52,3
14184,66,1,452.89,1
14185,330,1,197.65,0
14188,30,6,2054.36,1
14189,1,15,4654.08,3
14191,1,13,4684.76,3
14193,67,2,853.39,1
14194,4,21,11349.52,3
14195,201,2,1012.0,0
14196,106,1,335.52,1
14198,17,4,701.4,1
14199,217,1,185.4,0
14201,59,7,747.44,1
14204,1,1,161.03,1
14205,16,2,466.7,1
14206,238,1,328.16,0
14208,94,1,151.74,1
14209,10,6,2073.43,1
14210,105,6,1905.84,1
14211,52,9,2241.1,1
14212,89,1,1070.48,1
14214,30,5,1004.38,1
14215,11,6,1789.72,1
14216,2,4,1839.3,1
14217,1,17,2004.98,3
14218,42,1,169.48000000000002,1
14219,3,1,89.94,1
14220,246,2,632.4000000000001,0
14221,41,9,3432.8,1
14222,176,1,683.17,0
14223,91,3,991.13,1
14224,109,4,1050.12,1
14226,28,5,2232.19,1
14227,25,10,3350.96,1
14229,51,3,1547.2,1
14231,183,3,925.71,0
14232,42,5,2048.07,1
14233,48,4,1462.72,1
14234,21,4,775.46,1
14235,74,5,3144.86,1
14236,80,2,490.86,1
14237,372,1,161.0,0
14238,325,1,146.85,0
14239,42,11,2380.85,1
14240,29,2,890.34,1
14241,183,1,213.7,0
14242,234,2,280.55,0
14243,8,10,2588.77,1
14245,219,2,1693.45,0
14246,110,3,1474.06,1
14247,277,1,136.77,0
14248,317,1,302.58,0
14250,6,3,1904.05,1
14251,1,5,2879.7000000000003,1
14256,259,2,969.06,0
14257,63,5,3099.7200000000003,1
14258,8,9,12669.98,3
14259,141,1,120.0,1
14261,50,2,1163.45,1
14262,7,8,2618.23,1
14264,154,2,333.97,0
14267,162,3,1516.24,0
