CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12910,22,8,3075.04,1,Potential Loyalist
12912,2,5,1662.3,1,Potential Loyalist
12913,4,5,2483.63,1,Potential Loyalist
12915,148,2,363.65,0,Churn Risk
12916,138,4,3006.15,1,Potential Loyalist
12917,127,1,594.0,1,Potential Loyalist
12919,7,6,1335.19,1,Potential Loyalist
12920,16,1,164.23,1,Potential Loyalist
12921,8,37,16587.09,3,Loyal
12922,160,1,405.38,0,Churn Risk
12923,63,1,176.97,1,Potential Loyalist
12924,87,4,933.7,1,Potential Loyalist
12925,4,2,694.05,1,Potential Loyalist
12928,34,5,2062.7,1,Potential Loyalist
12929,311,1,117.85,0,Churn Risk
12930,77,2,415.8,1,Potential Loyalist
12931,21,15,42055.96,3,Loyal
12933,23,3,607.53,1,Potential Loyalist
12935,1,7,2160.7,1,Potential Loyalist
12936,16,4,1063.9,1,Potential Loyalist
12937,14,4,1504.27,1,Potential Loyalist
12938,25,1,114.14,1,Potential Loyalist
12939,63,8,11581.8,3,Loyal
12940,54,2,913.54,1,Potential Loyalist
12942,130,3,683.9,1,Potential Loyalist
12944,35,2,604.51,1,Potential Loyalist
12945,287,1,462.95,0,Churn Risk
12947,143,6,1603.99,1,Potential Loyalist
12948,15,7,2064.95,1,Potential Loyalist
12949,30,8,4167.22,1,Potential Loyalist
12950,1,3,1843.0,1,Potential Loyalist
12951,8,6,1064.07,1,Potential Loyalist
12952,5,4,1387.79,1,Potential Loyalist
12953,9,1,329.85,1,Potential Loyalist
12955,0,11,4757.16,3,Loyal
12956,305,1,108.07,0,Churn Risk
12957,9,8,4017.54,1,Potential Loyalist
12962,6,2,266.39,1,Potential Loyalist
12963,7,8,1856.63,1,Potential Loyalist
12965,88,1,771.91,1,Potential Loyalist
12966,9,1,160.18,1,Potential Loyalist
12967,357,2,1660.9,0,Churn Risk
12968,111,1,135.95,1,Potential Loyalist
12970,6,4,452.24,1,Potential Loyalist
12971,3,86,11189.91,2,Champion
12974,197,1,144.8,0,Churn Risk
12976,211,1,738.6,0,Churn Risk
12977,155,1,39.24,0,Churn Risk
12980,157,9,7374.900000000001,1,Potential Loyalist
12981,29,2,372.22,1,Potential Loyalist
12982,242,1,390.54,0,Churn Risk
12984,18,1,97.5,1,Potential Loyalist
12985,0,2,1239.38,1,Potential Loyalist
12987,73,2,558.7,1,Potential Loyalist
12988,291,1,535.32,0,Churn Risk
12989,2,15,6924.11,3,Loyal
12990,30,3,409.5,1,Potential Loyalist
12991,22,2,503.76,1,Potential Loyalist
12993,22,4,414.76,1,Potential Loyalist
12994,3,3,974.42,1,Potential Loyalist
12995,84,1,211.32,1,Potential Loyalist
12997,21,4,1226.89,1,Potential Loyalist
12999,195,3,455.88,0,Churn Risk
13000,106,3,534.85,1,Potential Loyalist
13001,3,13,9818.82,3,Loyal
13002,317,1,120.95,0,Churn Risk
13003,105,3,149.05,1,Potential Loyalist
13004,11,18,5655.91,3,Loyal
13005,173,2,513.7,0,Churn Risk
13006,55,1,81.57,1,Potential Loyalist
13008,322,1,229.47,0,Churn Risk
13011,371,1,50.55,0,Churn Risk
13012,8,8,1661.84,1,Potential Loyalist
13013,0,13,4810.9400000000005,3,Loyal
13014,10,10,3466.28,1,Potential Loyalist
13015,52,5,3346.28,1,Potential Loyalist
13016,72,3,789.89,1,Potential Loyalist
13017,6,1,204.0,1,Potential Loyalist
13018,15,28,7277.7,3,Loyal
13021,3,9,2616.38,1,Potential Loyalist
13023,63,2,689.9,1,Potential Loyalist
13026,0,5,975.36,1,Potential Loyalist
13027,113,6,6912.0,1,Potential Loyalist
13028,22,2,661.3199999999999,1,Potential Loyalist
13029,30,3,1247.5,1,Potential Loyalist
13030,10,2,799.48,1,Potential Loyalist
13032,51,2,1010.18,1,Potential Loyalist
13033,356,1,190.55,0,Churn Risk
13034,54,2,642.77,1,Potential Loyalist
13035,73,2,921.88,1,Potential Loyalist
13037,137,3,881.07,1,Potential Loyalist
13038,79,3,908.46,1,Potential Loyalist
13040,8,2,676.99,1,Potential Loyalist
13043,272,1,516.42,0,Churn Risk
13044,290,1,560.47,0,Churn Risk
13045,98,1,305.28000000000003,1,Potential Loyalist
13046,30,2,629.31,1,Potential Loyalist
13047,31,10,3237.54,1,Potential Loyalist
13048,13,4,1835.91,1,Potential Loyalist
13049,63,2,656.6800000000001,1,Potential Loyalist
13050,14,17,5836.86,3,Loyal
13052,211,1,348.15000000000003,0,Churn Risk
13055,77,3,1214.41,1,Potential Loyalist
13058,24,3,271.40000000000003,1,Potential Loyalist
13059,249,1,183.4,0,Churn Risk
13060,253,1,307.53000000000003,0,Churn Risk
13061,71,1,248.61,1,Potential Loyalist
13062,190,1,346.98,0,Churn Risk
13064,12,4,1119.49,1,Potential Loyalist
13065,372,1,205.86,0,Churn Risk
13066,23,2,470.8,1,Potential Loyalist
13067,81,1,115.46,1,Potential Loyalist
13068,9,2,344.0,1,Potential Loyalist
13069,0,24,4436.12,3,Loyal
13070,191,1,228.8,0,Churn Risk
13072,266,1,177.15,0,Churn Risk
13075,129,1,919.61,1,Potential Loyalist
13077,0,4,729.27,1,Potential Loyalist
13078,2,26,12627.94,3,Loyal
13079,3,5,220.1,1,Potential Loyalist
13080,178,1,58.08,0,Churn Risk
13081,11,11,28337.38,3,Loyal
13082,125,9,3613.63,1,Potential Loyalist
13083,3,2,303.75,1,Potential Loyalist
13085,157,2,416.08,0,Churn Risk
13089,2,97,58825.83,2,Champion
13090,8,14,8910.82,3,Loyal
13091,27,1,345.82,1,Potential Loyalist
13092,70,5,477.83,1,Potential Loyalist
13093,275,8,7832.47,0,Churn Risk
13094,20,12,1927.32,3,Loyal
13095,70,1,74.39999999999999,1,Potential Loyalist
13097,32,10,6010.42,3,Loyal
13098,0,28,28882.44,3,Loyal
13099,98,1,207.36,1,Potential Loyalist
13101,233,1,101.19,0,Churn Risk
13102,0,24,6424.09,3,Loyal
13103,39,1,243.94,1,Potential Loyalist
13104,2,6,1098.48,1,Potential Loyalist
13106,132,1,76.5,1,Potential Loyalist
13107,43,4,1531.62,1,Potential Loyalist
13108,372,1,350.06,0,Churn Risk
13109,59,2,786.54,1,Potential Loyalist
13110,30,7,1488.67,1,Potential Loyalist
13113,0,24,12245.96,3,Loyal
13115,11,4,2294.78,1,Potential Loyalist
13116,137,1,501.14,1,Potential Loyalist
13117,21,8,984.91,1,Potential Loyalist
13118,19,5,1197.81,1,Potential Loyalist
13120,238,1,30.6,0,Churn Risk
13121,268,1,283.73,0,Churn Risk
13122,93,2,922.39,1,Potential Loyalist
13124,89,3,3866.33,1,Potential Loyalist
13126,4,8,2099.64,1,Potential Loyalist
13127,77,1,259.17,1,Potential Loyalist
13130,93,1,64.0,1,Potential Loyalist
13131,22,3,1073.3,1,Potential Loyalist
13132,261,1,77.3,0,Churn Risk
13133,273,2,109.8,0,Churn Risk
13134,85,4,1793.58,1,Potential Loyalist
13135,196,1,3096.0,0,Churn Risk
13136,55,5,2607.61,1,Potential Loyalist
13137,10,8,3650.41,1,Potential Loyalist
13138,21,6,962.39,1,Potential Loyalist
13139,15,7,5064.9400000000005,1,Potential Loyalist
13140,107,3,423.72,1,Potential Loyalist
13141,84,5,2388.75,1,Potential Loyalist
13142,18,1,307.09000000000003,1,Potential Loyalist
13144,332,1,110.95,0,Churn Risk
13145,39,4,618.52,1,Potential Loyalist
13146,25,1,228.91,1,Potential Loyalist
13147,9,4,712.8,1,Potential Loyalist
13148,28,12,3707.12,3,Loyal
13149,13,4,1676.06,1,Potential Loyalist
13151,295,1,1257.87,0,Churn Risk
13153,5,1,486.22,1,Potential Loyalist
13155,32,4,971.76,1,Potential Loyalist
13157,48,4,1741.22,1,Potential Loyalist
13158,94,4,1201.06,1,Potential Loyalist
13159,8,4,1437.85,1,Potential Loyalist
13160,21,1,91.8,1,Potential Loyalist
13161,312,1,112.75,0,Churn Risk
13162,121,4,1688.29,1,Potential Loyalist
13165,45,2,1021.48,1,Potential Loyalist
13166,282,1,417.2,0,Churn Risk
13167,18,4,791.33,1,Potential Loyalist
13168,35,4,1319.19,1,Potential Loyalist
13169,63,2,712.88,1,Potential Loyalist
13170,26,1,116.01,1,Potential Loyalist
13171,21,3,468.41,1,Potential Loyalist
13173,3,2,353.65000000000003,1,Potential Loyalist
13174,15,3,2817.03,1,Potential Loyalist
13176,45,1,492.84,1,Potential Loyalist
13177,64,1,282.45,1,Potential Loyalist
13178,25,11,5725.47,3,Loyal
13182,44,1,121.18,1,Potential Loyalist
13183,7,9,3957.78,1,Potential Loyalist
13184,14,10,1701.29,1,Potential Loyalist
13185,267,1,71.4,0,Churn Risk
13186,39,3,1575.89,1,Potential Loyalist
13187,336,1,236.02,0,Churn Risk
13188,10,1,114.6,1,Potential Loyalist
13189,18,2,260.68,1,Potential Loyalist
13192,94,2,911.94,1,Potential Loyalist
13193,60,1,117.88,1,Potential Loyalist
13194,135,1,60.7,1,Potential Loyalist
13196,10,4,1797.78,1,Potential Loyalist
13198,9,6,3401.24,1,Potential Loyalist
13199,3,38,9817.12,3,Loyal
13200,18,4,870.09,1,Potential Loyalist
13203,9,4,869.46,1,Potential Loyalist
13207,14,2,250.26,1,Potential Loyalist
13208,58,6,1223.9,1,Potential Loyalist
13209,29,8,5891.61,1,Potential Loyalist
13210,93,1,353.48,1,Potential Loyalist
13211,9,3,1197.42,1,Potential Loyalist
13212,19,3,788.08,1,Potential Loyalist
13213,56,5,1520.58,1,Potential Loyalist
13216,267,1,333.74,0,Churn Risk
13217,121,3,533.98,1,Potential Loyalist
13218,126,1,62.64,1,Potential Loyalist
13220,77,4,819.2900000000001,1,Potential Loyalist
13221,239,2,847.41,0,Churn Risk
13223,199,2,163.2,0,Churn Risk
13224,59,2,2155.95,1,Potential Loyalist
13225,2,7,6463.84,1,Potential Loyalist
13226,272,1,108.21,0,Churn Risk
13227,201,1,257.7,0,Churn Risk
13228,80,1,358.0,1,Potential Loyalist
13229,225,1,160.95,0,Churn Risk
13230,3,14,2806.97,3,Loyal
13232,12,7,1357.6,1,Potential Loyalist
13233,73,2,605.12,1,Potential Loyalist
13235,211,1,1031.07,0,Churn Risk
13236,23,2,744.85,1,Potential Loyalist
13238,16,4,700.73,1,Potential Loyalist
13239,261,1,329.56,0,Churn Risk
13240,95,4,663.65,1,Potential Loyalist
13242,111,3,270.40000000000003,1,Potential Loyalist
13243,202,1,600.07,0,Churn Risk
13244,92,1,121.74,1,Potential Loyalist
13245,50,1,430.5,1,Potential Loyalist
13246,17,6,1987.3,1,Potential Loyalist
13247,17,4,501.12,1,Potential Loyalist
13248,124,2,465.68,1,Potential Loyalist
13249,91,3,711.41,1,Potential Loyalist
13253,156,2,1030.4,0,Churn Risk
13255,8,2,399.51,1,Potential Loyalist
13258,11,3,698.5799999999999,1,Potential Loyalist
13259,61,1,292.32,1,Potential Loyalist
13260,60,1,557.62,1,Potential Loyalist
13261,268,2,944.1,0,Churn Risk
13262,262,1,200.29,0,Churn Risk
13263,0,35,7454.07,3,Loyal
13265,52,5,2107.66,1,Potential Loyalist
13266,10,12,3834.26,3,Loyal
13267,2,19,4521.49,3,Loyal
13268,17,11,3214.69,3,Loyal
13269,0,15,5346.2300000000005,3,Loyal
13270,365,1,590.0,0,Churn Risk
13271,36,1,217.38,1,Potential Loyalist
13272,30,2,276.56,1,Potential Loyalist
13273,112,1,138.98,1,Potential Loyalist
13276,63,2,590.9300000000001,1,Potential Loyalist
13277,15,4,258.4,1,Potential Loyalist
13278,40,1,542.73,1,Potential Loyalist
13279,77,1,137.75,1,Potential Loyalist
13280,121,3,814.86,1,Potential Loyalist
13282,17,3,1132.14,1,Potential Loyalist
13283,59,2,93.66,1,Potential Loyalist
13284,330,1,201.19,0,Churn Risk
13285,22,4,2709.12,1,Potential Loyalist
13291,155,1,361.11,0,Churn Risk
13292,38,2,578.94,1,Potential Loyalist
13294,189,2,873.74,0,Churn Risk
13295,359,1,201.2,0,Churn Risk
13296,136,1,87.4,1,Potential Loyalist
13297,7,4,2089.85,1,Potential Loyalist
13298,0,1,360.0,1,Potential Loyalist
13299,267,1,142.5,0,Churn Risk
13300,168,1,371.89,0,Churn Risk
13301,103,4,618.09,1,Potential Loyalist
13302,154,1,63.75,0,Churn Risk
13304,350,1,300.42,0,Churn Risk
13305,3,10,2000.86,1,Potential Loyalist
13307,119,1,15.0,1,Potential Loyalist
13308,22,3,1385.51,1,Potential Loyalist
13309,6,5,1456.79,1,Potential Loyalist
13310,27,3,1132.03,1,Potential Loyalist
13311,3,2,598.57,1,Potential Loyalist
13313,21,5,1555.3200000000002,1,Potential Loyalist
13314,1,3,775.94,1,Potential Loyalist
13316,36,4,5977.73,1,Potential Loyalist
13317,65,6,2273.68,1,Potential Loyalist
13318,0,3,640.76,1,Potential Loyalist
13319,4,26,10845.55,3,Loyal
13320,77,4,1548.7,1,Potential Loyalist
13321,71,2,567.36,1,Potential Loyalist
13322,16,1,199.48,1,Potential Loyalist
13323,2,5,787.85,1,Potential Loyalist
13324,35,10,7121.95,3,Loyal
13325,81,1,675.3,1,Potential Loyalist
13327,38,8,3627.77,1,Potential Loyalist
13328,315,1,1308.48,0,Churn Risk
13329,31,2,789.0,1,Potential Loyalist
13330,92,3,1140.93,1,Potential Loyalist
13332,13,1,350.90000000000003,1,Potential Loyalist
13334,81,3,3536.82,1,Potential Loyalist
13336,76,1,795.12,1,Potential Loyalist
13338,157,1,487.02,0,Churn Risk
13339,200,1,860.12,0,Churn Risk
13340,44,7,10736.48,1,Potential Loyalist
13341,260,1,775.85,0,Churn Risk
13343,177,1,353.43,0,Churn Risk
13344,67,3,2543.7200000000003,1,Potential Loyalist
13345,287,1,389.5,0,Churn Risk
13347,69,1,341.36,1,Potential Loyalist
13348,63,1,233.76,1,Potential Loyalist
13349,10,1,247.32,1,Potential Loyalist
13350,15,2,979.12,1,Potential Loyalist
13351,65,1,373.94,1,Potential Loyalist
13352,59,1,397.98,1,Potential Loyalist
13354,70,1,743.53,1,Potential Loyalist
13355,121,1,674.7,1,Potential Loyalist
13356,79,1,768.24,1,Potential Loyalist
13357,256,1,609.95,0,Churn Risk
13358,268,1,439.03,0,Churn Risk
13359,63,1,439.56,1,Potential Loyalist
13362,8,4,3090.74,1,Potential Loyalist
13363,17,2,992.5,1,Potential Loyalist
13364,70,1,134.96,1,Potential Loyalist
13365,33,2,2225.37,1,Potential Loyalist
13366,49,1,56.16,1,Potential Loyalist
13368,256,2,623.4,0,Churn Risk
13369,365,1,308.28000000000003,0,Churn Risk
13370,371,1,754.87,0,Churn Risk
13372,89,1,378.64,1,Potential Loyalist
13373,60,3,3312.25,1,Potential Loyalist
13375,88,1,778.65,1,Potential Loyalist
13376,98,3,1019.76,1,Potential Loyalist
13379,25,3,572.56,1,Potential Loyalist
13381,31,6,3639.31,1,Potential Loyalist
13382,280,1,222.99,0,Churn Risk
13384,30,7,4151.93,1,Potential Loyalist
13385,329,1,534.57,0,Churn Risk
13388,130,2,677.1,1,Potential Loyalist
13389,10,3,797.96,1,Potential Loyalist
13390,74,1,544.08,1,Potential Loyalist
13391,203,1,59.8,0,Churn Risk
13394,1,8,2520.02,1,Potential Loyalist
13395,184,1,307.72,0,Churn Risk
13396,28,2,1360.99,1,Potential Loyalist
13397,72,5,1544.13,1,Potential Loyalist
13398,191,1,457.34,0,Churn Risk
13402,126,2,621.23,1,Potential Loyalist
13403,17,1,75.0,1,Potential Loyalist
13404,0,2,252.49,1,Potential Loyalist
13405,73,3,572.451,1,Potential Loyalist
13408,1,62,28117.04,2,Champion
13410,23,5,1003.06,1,Potential Loyalist
13411,106,1,213.55,1,Potential Loyalist
13414,133,3,1390.5,1,Potential Loyalist
13416,43,2,712.5,1,Potential Loyalist
13417,4,2,640.83,1,Potential Loyalist
13418,11,18,6127.43,3,Loyal
13419,63,1,221.06,1,Potential Loyalist
13420,149,2,159.85,0,Churn Risk
13421,39,2,1851.08,1,Potential Loyalist
13422,63,1,2626.3,1,Potential Loyalist
13425,107,3,1624.21,1,Potential Loyalist
13426,0,10,3641.32,1,Potential Loyalist
13427,18,3,582.6,1,Potential Loyalist
13428,9,1,218.47,1,Potential Loyalist
13429,10,4,1006.8,1,Potential Loyalist
13430,18,2,679.45,1,Potential Loyalist
13431,66,2,1269.1,1,Potential Loyalist
13434,73,2,534.24,1,Potential Loyalist
13435,4,7,3809.89,1,Potential Loyalist
13436,1,1,196.89,1,Potential Loyalist
13437,13,7,3408.06,1,Potential Loyalist
13439,254,1,283.71,0,Churn Risk
13441,91,1,296.64,1,Potential Loyalist
13447,22,3,1129.14,1,Potential Loyalist
13448,16,6,3539.3700000000003,1,Potential Loyalist
13449,23,1,291.88,1,Potential Loyalist
13450,26,6,2043.72,1,Potential Loyalist
13451,25,5,2976.15,1,Potential Loyalist
13452,258,2,590.0,0,Churn Risk
13453,165,2,356.98,0,Churn Risk
13455,24,2,1058.34,1,Potential Loyalist
13456,17,6,1766.72,1,Potential Loyalist
13458,6,14,9646.57,3,Loyal
13460,28,2,183.44,1,Potential Loyalist
13461,38,3,1445.0,1,Potential Loyalist
13462,252,1,151.5,0,Churn Risk
13464,57,1,674.68,1,Potential Loyalist
13466,183,1,307.90000000000003,0,Churn Risk
13467,10,2,1083.71,1,Potential Loyalist
13468,1,37,5704.97,3,Loyal
13470,98,2,165.0,1,Potential Loyalist
13471,0,4,2531.58,1,Potential Loyalist
13473,60,2,422.64,1,Potential Loyalist
13474,235,1,229.59,0,Churn Risk
13475,190,4,1431.78,0,Churn Risk
13476,178,2,1238.47,0,Churn Risk
13477,37,6,1454.58,1,Potential Loyalist
13479,200,2,300.95,0,Churn Risk
13481,45,5,1804.56,1,Potential Loyalist
13482,231,1,184.64,0,Churn Risk
13483,65,1,140.34,1,Potential Loyalist
13484,240,1,313.8,0,Churn Risk
13485,232,1,454.24,0,Churn Risk
13486,77,3,1122.41,1,Potential Loyalist
13487,57,3,575.4,1,Potential Loyalist
13488,16,13,8968.31,3,Loyal
13489,104,4,449.52,1,Potential Loyalist
13491,51,10,1215.82,1,Potential Loyalist
13494,311,1,316.26000000000005,0,Churn Risk
13495,7,5,2044.87,1,Potential Loyalist
13496,10,2,653.33,1,Potential Loyalist
13497,282,2,348.05,0,Churn Risk
13499,17,5,1159.11,1,Potential Loyalist
13500,22,3,1166.77,1,Potential Loyalist
13502,16,3,292.0,1,Potential Loyalist
13503,70,1,216.85,1,Potential Loyalist
13504,63,1,295.93,1,Potential Loyalist
13506,315,2,458.52,0,Churn Risk
13507,2,4,2479.16,1,Potential Loyalist
13508,243,1,110.97,0,Churn Risk
13509,8,7,979.72,1,Potential Loyalist
13510,0,4,1791.56,1,Potential Loyalist
13512,260,1,251.21,0,Churn Risk
13513,126,1,205.1,1,Potential Loyalist
13514,73,1,152.20000000000002,1,Potential Loyalist
13515,72,4,891.12,1,Potential Loyalist
13516,20,3,1389.41,1,Potential Loyalist
13517,59,3,2128.42,1,Potential Loyalist
13518,85,1,659.44,1,Potential Loyalist
13519,77,1,122.75,1,Potential Loyalist
13521,0,3,1093.65,1,Potential Loyalist
13522,29,1,125.8,1,Potential Loyalist
13523,32,5,3964.88,1,Potential Loyalist
13524,40,5,680.1800000000001,1,Potential Loyalist
13525,14,2,628.78,1,Potential Loyalist
13527,33,7,2287.51,1,Potential Loyalist
13529,78,2,307.76,1,Potential Loyalist
13531,204,2,483.8,0,Churn Risk
13532,33,1,210.31,1,Potential Loyalist
13533,182,3,270.79,0,Churn Risk
13534,1,25,5870.08,3,Loyal
13536,0,7,3448.29,1,Potential Loyalist
13538,42,7,1280.85,1,Potential Loyalist
13539,85,3,631.34,1,Potential Loyalist
13544,39,2,291.41,1,Potential Loyalist
13546,11,3,626.99,1,Potential Loyalist
13548,95,2,682.41,1,Potential Loyalist
13549,25,7,918.2,1,Potential Loyalist
13551,318,1,91.8,0,Churn Risk
13552,65,12,3740.07,3,Loyal
13555,73,4,4149.28,1,Potential Loyalist
13557,27,2,584.0600000000001,1,Potential Loyalist
13558,5,4,605.06,1,Potential Loyalist
13560,6,1,174.37,1,Potential Loyalist
13561,215,1,141.86,0,Churn Risk
13562,81,3,1799.3300000000002,1,Potential Loyalist
13563,83,2,777.53,1,Potential Loyalist
13564,143,3,1749.02,1,Potential Loyalist
13565,18,2,240.22,1,Potential Loyalist
13566,40,2,874.71,1,Potential Loyalist
13568,172,1,192.85,0,Churn Risk
13569,16,2,373.75,1,Potential Loyalist
13570,242,1,239.49,0,Churn Risk
13571,12,12,2092.32,3,Loyal
13572,205,1,1384.25,0,Churn Risk
13573,49,2,294.40000000000003,1,Potential Loyalist
13575,22,5,732.07,1,Potential Loyalist
13576,9,18,6717.34,3,Loyal
13577,24,4,1687.6,1,Potential Loyalist
13579,14,2,467.04,1,Potential Loyalist
13581,308,1,118.0,0,Churn Risk
13583,155,1,781.03,0,Churn Risk
13584,306,1,142.4,0,Churn Risk
13587,63,1,712.4,1,Potential Loyalist
13588,15,9,2478.95,1,Potential Loyalist
13589,14,2,379.65,1,Potential Loyalist
13590,10,6,1981.92,1,Potential Loyalist
13591,64,3,1117.13,1,Potential Loyalist
13592,35,4,247.96,1,Potential Loyalist
13593,107,5,2037.08,1,Potential Loyalist
13594,52,1,396.97,1,Potential Loyalist
13596,5,2,697.04,1,Potential Loyalist
13598,46,1,180.17,1,Potential Loyalist
13599,0,21,5153.67,3,Loyal
13600,311,1,219.52,0,Churn Risk
13601,44,2,693.32,1,Potential Loyalist
13602,64,1,428.89,1,Potential Loyalist
13603,25,1,164.34,1,Potential Loyalist
13606,28,3,280.54,1,Potential Loyalist
13607,39,1,678.01,1,Potential Loyalist
13610,11,7,1131.88,1,Potential Loyalist
13611,88,3,1171.8,1,Potential Loyalist
13614,23,4,1610.46,1,Potential Loyalist
13615,318,1,417.69,0,Churn Risk
13617,39,3,544.18,1,Potential Loyalist
13618,173,1,177.34,0,Churn Risk
13621,116,1,213.85,1,Potential Loyalist
13623,30,5,747.78,1,Potential Loyalist
13626,252,1,257.23,0,Churn Risk
13627,58,5,1638.47,1,Potential Loyalist
13629,22,11,7792.36,3,Loyal
13630,4,7,2031.78,1,Potential Loyalist
13631,99,11,3070.42,1,Potential Loyalist
13632,24,5,2121.27,1,Potential Loyalist
13634,32,5,1575.16,1,Potential Loyalist
13635,67,1,1071.03,1,Potential Loyalist
13636,36,5,949.12,1,Potential Loyalist
13637,51,3,810.5,1,Potential Loyalist
13638,15,1,122.64,1,Potential Loyalist
13639,73,1,1033.34,1,Potential Loyalist
13642,215,1,354.8,0,Churn Risk
13643,30,3,519.44,1,Potential Loyalist
13644,15,4,2624.26,1,Potential Loyalist
13645,119,1,252.1,1,Potential Loyalist
13647,9,4,1678.12,1,Potential Loyalist
13649,256,2,346.6,0,Churn Risk
13650,16,6,1836.34,1,Potential Loyalist
13651,34,2,94.2,1,Potential Loyalist
13652,45,3,1095.08,1,Potential Loyalist
13654,42,6,2707.33,1,Potential Loyalist
13655,113,2,932.97,1,Potential Loyalist
13656,164,2,379.65,0,Churn Risk
13657,10,2,382.14,1,Potential Loyalist
13658,9,5,2639.17,1,Potential Loyalist
13659,205,2,1573.2,0,Churn Risk
13662,85,3,897.76,1,Potential Loyalist
13663,178,1,189.47,0,Churn Risk
13666,59,3,84.65,1,Potential Loyalist
13667,148,1,305.02,0,Churn Risk
13668,2,21,6363.59,3,Loyal
13669,50,2,218.55,1,Potential Loyalist
13670,74,1,349.7,1,Potential Loyalist
13672,300,2,186.39,0,Churn Risk
13673,18,2,396.92,1,Potential Loyalist
13675,150,2,486.8200000000001,0,Churn Risk
13678,151,1,232.6,0,Churn Risk
13680,0,4,3722.42,1,Potential Loyalist
13681,17,4,827.83,1,Potential Loyalist
13682,186,1,59.5,0,Churn Risk
13684,285,1,67.23,0,Churn Risk
13685,2,7,3119.44,1,Potential Loyalist
13686,182,1,72.0,0,Churn Risk
13689,62,1,910.0,1,Potential Loyalist
13690,58,1,172.25,1,Potential Loyalist
13692,24,3,1488.32,1,Potential Loyalist
13694,3,50,65039.62,2,Champion
13695,30,15,2504.13,3,Loyal
13697,38,1,151.3,1,Potential Loyalist
13699,154,1,308.58000000000004,0,Churn Risk
13700,25,10,2265.12,1,Potential Loyalist
13703,317,1,99.5,0,Churn Risk
13704,4,9,2308.06,1,Potential Loyalist
13705,7,3,711.86,1,Potential Loyalist
13706,302,1,330.79,0,Churn Risk
13707,266,2,806.41,0,Churn Risk
13708,270,1,296.88,0,Churn Risk
13709,3,13,6328.05,3,Loyal
13710,31,1,180.48,1,Potential Loyalist
13711,218,2,252.06,0,Churn Risk
13712,246,1,228.84,0,Churn Risk
13715,280,5,1079.34,0,Churn Risk
13716,268,1,138.28,0,Churn Risk
13717,31,6,1445.01,1,Potential Loyalist
13718,245,2,306.55,0,Churn Risk
13719,14,5,1041.68,1,Potential Loyalist
